id;name;short_name;division_id;education_form_id;education_level_id;recruitment_year;specialty_id;curriculum_id
2117;АТ13ВР62АБ;53;1;1;82;13;350304;556
2142;АТ13ВР62ДС;55А;1;1;82;13;350305;557
2116;АТ13ВР62ПВ;55;1;1;82;13;350305;142
2119;АТ13ВР62ПР;57;1;1;82;13;350307;606
2111;АТ13ВР62ТС;52;1;1;82;13;350306;562
2141;АТ13ВР62ЩР;54;1;1;82;13;350304;556
2140;АТ13ВР62ЭЭ;58;1;1;82;13;350306;146
2118;АТ13ВР65ВЕ;56;1;1;80;13;360501;531
2200;АТ14ВР62ДС;45А;1;1;82;14;350305;602
2201;АТ14ВР62ПВ;45;1;1;82;14;350305;601
2202;АТ14ВР62ПЖ;47А;1;1;82;14;350307;603
2199;АТ14ВР62ТС;42;1;1;82;14;350306;558
2264;АТ14ВР62ЭЭ;48;1;1;82;14;350306;146
2198;АТ14ВР65ВЕ;46;1;1;80;14;360501;599
2393;АТ15ВР62АБ;33;1;1;82;15;350304;556
2402;АТ15ВР62ПВ;35;1;1;82;15;350305;601
2394;АТ15ВР62ПР;37;1;1;82;15;350307;604
2392;АТ15ВР62ТС;32;1;1;82;15;350306;558
2469;АТ15ВР62ЭЭ;38;1;1;82;15;350306;146
2401;АТ15ВР65ВЕ;36;1;1;80;15;360501;599
2586;АТ16ВР62АБ;23;1;1;82;16;350304;984
2587;АТ16ВР62ДС;25А;1;1;82;16;350305;985
2588;АТ16ВР62ОП;29;1;1;82;16;190304;987
2589;АТ16ВР62ПР;27;1;1;82;16;350307;986
2585;АТ16ВР62ЭЭ;28;1;1;82;16;350306;988
2582;АТ16ВР65ВЕ;26;1;1;80;16;360501;990
2584;АТ16ВР65ТС;22;1;1;80;16;230501;989
2785;АТ17ВР62ДС;15А;1;1;82;17;350305;1328
2924;АТ17ВР62ЖП;17Ж;1;1;82;17;190303;1323
2783;АТ17ВР62ОП;19;1;1;82;17;190304;1325
2786;АТ17ВР62РП;17Р;1;1;82;17;190302;1324
2784;АТ17ВР62ЩР;14;1;1;82;17;350304;1329
2781;АТ17ВР62ЭЭ;18;1;1;82;17;350306;1330
2782;АТ17ВР65ВЕ;16;1;1;80;17;360501;1322
2779;АТ17ВР65ТС;12;1;1;80;17;230501;1327
2780;АТ17ВР66НТ;12А;1;1;80;17;540306;1326
2300;АТ13ДР62АГ1;504;1;2;82;13;350304;1212
2044;АТ13ДР62АГ2;503;1;2;82;13;350304;1213
2298;АТ13ДР62АЖ1;502;1;2;82;13;350306;1209
2115;АТ13ДР62АЖ2;501;1;2;82;13;350306;1210
2299;АТ13ДР62АЖ3;508;1;2;82;13;350306;1211
2114;АТ13ДР62ПВ1;505;1;2;82;13;350305;1215
2301;АТ13ДР62ТП1;507-А;1;2;82;13;350307;1217
2112;АТ13ДР62ТП1;507;1;2;82;13;350307;1216
2674;АТ13ДР65АЖ1;;1;2;80;13;350306;
2113;АТ13ДР65ВЕ;506;1;2;80;13;360501;1218
2268;АТ14ДР62АГ1;404;1;2;82;14;350304;704
2267;АТ14ДР62АЖ1;402;1;2;82;14;350306;1194
2266;АТ14ДР62АЖ2;401;1;2;82;14;350306;674
2271;АТ14ДР62АЖ3;408;1;2;82;14;350306;1194
2269;АТ14ДР62ПВ1;405;1;2;82;14;350305;539
2270;АТ14ДР62ТП1;407;1;2;82;14;350307;543
2304;АТ14ДР62ТП1;407-А;1;2;82;14;350307;543
2265;АТ14ДР65ВЕ;406;1;2;80;14;360501;625
2434;АТ15ДР62АГ1;304;1;2;82;15;350304;853
2433;АТ15ДР62АЖ2;301;1;2;82;15;350306;857
2457;АТ15ДР62АЖ3;308;1;2;82;15;350306;851
2435;АТ15ДР62ПВ1;305;1;2;82;15;350305;856
2436;АТ15ДР62ТП1;307;1;2;82;15;350307;854
2432;АТ15ДР65ВЕ;306;1;2;80;15;360501;850
2634;АТ16ДР62АЖ1;208;1;2;82;16;350306;1170
2685;АТ16ДР62ПВ1;205;1;2;82;16;350305;1171
2635;АТ16ДР62ТП1;207;1;2;82;16;350307;1172
2640;АТ16ДР65АЖ3;202;1;2;80;16;230501;1174
2633;АТ16ДР65ВЕ1;206;1;2;80;16;360501;1175
2638;АТ16ДР68СС;213;1;2;84;16;350404;1176
2636;АТ16ДР68ТВ;215;1;2;84;16;350405;1177
2639;АТ16ДР68ТС;210;1;2;84;16;350406;1178
2637;АТ16ДР68ЭТ;211;1;2;84;16;230403;
2897;АТ17ДР62АГ1;103;1;2;82;17;350304;
2921;АТ17ДР62АЖ1;108;1;2;82;17;350306;
2920;АТ17ДР62ПВ1;105;1;2;82;17;350305;
2899;АТ17ДР62ТП1;107;1;2;82;17;350307;
2895;АТ17ДР65АЖ3;102;1;2;80;17;230501;
2896;АТ17ДР65ВЕ1;106;1;2;80;17;360501;
2916;АТ17ДР68ПР;113;1;2;84;17;350404;
2917;АТ17ДР68ТВ;115;1;2;84;17;350405;
2915;АТ17ДР68ТС;110;1;2;84;17;350406;
2153;БК13АР51МС1;;2;2;50;13;;384
2151;БК13АР51СВ1;;2;2;50;13;;385
2152;БК13АР51ЭР1;;2;2;50;13;;386
2149;БК13АР52АО1;;2;2;60;13;;387
2147;БК13АР52МГ1;;2;2;60;13;;388
2150;БК13АР52СЭ1;;2;2;60;13;;389
2148;БК13АР52ТА1;;2;2;60;13;;390
2293;БК14АР51АК1;;2;2;60;14;;
2292;БК14АР51МС1;;2;2;50;14;;641
2294;БК14АР51ЭР1;;2;2;50;14;;
2295;БК14АР52МГ1;;2;2;60;14;;
2297;БК14АР52СЭ1;;2;2;60;14;;
2296;БК14АР52ТА1;;2;2;60;14;;
2463;БК15АР51АК1;;2;2;50;15;;
2465;БК15АР51МС1;;2;2;50;15;;
2467;БК15АР51ЭР1;;2;2;50;15;;
2466;БК15АР52МГ1;;2;2;60;15;;
2468;БК15АР52СЭ1;;2;2;60;15;;
2464;БК15АР52ТА1;;2;2;60;15;;
2679;БК16АР51АК1;;2;2;50;16;230103;
2678;БК16АР51МС1;;2;2;50;16;80106;
2680;БК16АР51ЭР1;;2;2;50;16;130110;
2681;БК16АР52АР1;;2;2;60;16;290100;
2682;БК16АР52МГ1;;2;2;60;16;80208;
2683;БК16АР52СЭ1;;2;2;60;16;80201;
2684;БК16АР52ТА1;;2;2;60;16;230205;
2894;БК17АР51АК1;;2;2;50;17;;
2893;БК17АР51ЭР1;;2;2;50;17;;
2889;БК17АР52АР1;;2;2;50;17;;
2890;БК17АР52ИС1;;2;2;60;17;;
2888;БК17АР52МГ1;;2;2;60;17;;
2892;БК17АР52СЭ1;;2;2;60;17;;
2891;БК17АР52ТА1;;2;2;60;17;;
2088;БП13ВР62АХ1;56;3;1;82;13;230303;1206
