id;name;division_id;education_form_id;education_level_id;recruitment_year
142;110500_62_09_САДОВОДСТВО(ПИВ)_2012;1;1;82;12
146;110800_62_09_АГРОИНЖЕНЕРИЯ(ЭОИЭТ)_2012;1;1;82;12
158;030900_ЮРИСПРУДЕНЦИЯ;16;1;82;12
174;201200_00-00-123456-4324_ЛЕЧЕБ;8;2;80;12
229;ИГ12ВР62ИС1;5;1;82;12
230;ИГ12ВР62ПЛ1;5;1;82;12
232;ТК12АР52АТ1;10;2;60;12
238;ТК12АР52МЭ1;10;2;60;12
240;ТК12АР52ТМ1;10;2;60;12
241;ТК12АР52ТЭ1;10;2;60;12
242;ТК12АР52ЭС1;10;2;60;12
243;ТК12АР52ВК1;10;2;60;12
280;ФИ12ВР62СК1;5;1;82;12
384;БК12АР51МС1;2;2;50;12
385;БК12АР51СВ1;2;2;50;12
386;БК12АР51ЭР1;2;2;50;12
387;БК12АР52АО1;2;2;60;12
388;БК12АР52МГ1;2;2;60;12
389;БК12АР52СЭ1;2;2;60;12
390;БК12АР52ТА1;2;2;60;12
394;ИЯ13ВМ62ОФ1  12;7;1;82;13
398;ИТ13ВР62ЭC1;6;1;82;13
411;050100_62-11-12345-4324_86;9;2;82;13
412;050100_62-13-12345-4324-89;9;2;82;13
417;050100_62-13-12345-4324-88;9;1;82;13
418;080200_62-13-12345-4324-87;9;1;82;13
424;Муз;5;1;82;13
427;РФ13ВР62БИ1;9;1;82;13
445;ФК13ВР62ФС1;12;1;82;13
446;ИТ13ДР62ТО1;6;2;82;13
449;151701_00-00-123456-4324ПТМК_ДПТМК_13;6;2;80;13
450;ИТ13ДР62КТ1;6;2;82;13
459;ИТ13ДР62ЭК1;6;2;82;13
462;ФК13ВР62ФС2;12;1;82;13
465;230100_62_09_ИВТ(ВКСС)_2013_;6;2;82;13
466;231000_62_09_ПрИн(РПИС)_2013_;6;2;82;13
467;230400_62_10_ИСиТ(БИС)_2013_;6;2;82;13
470;ИТ13ДР62ЭТ1;6;2;82;13
474;ИГ13ДР62СК1;5;2;82;13
478;ИГ13ДР62ГМ1;5;2;82;13
479;РУССКАЯ_ФИЛОЛОГИЯ;7;2;82;13
480;УКРАИНСКАЯ_ФИЛОЛОГИЯ;7;2;82;13
481;МОЛДАВСКАЯ_ФИЛОЛОГИЯ;7;2;82;13
482;Журналистика_очное_отделение;7;2;82;13
483;Лингвистика_английский_язык;7;2;82;13
485;Лингвистика_французский_язык;7;2;82;13
486;201200_00-00-123456-4324_8;7;2;80;13
487;Направление_Журналистика_заочное_отделение;7;1;82;13
488;Направление_Отечественная_филология_Русский_язык_и_литература_зо;7;1;82;13
489;ФП13ДР62СД1;14;2;82;13
490;ФП13ДР62НО1;14;2;82;13
493;ИТ13ВР62ИС1;6;1;82;13
494;ИТ13ВР62ТО1;6;1;82;13
495;ИТ13ВР62ЭК1;6;1;82;13
503;Архитектура 13-14;3;2;82;13
518;ФП13ДР62ПП1;14;2;82;13
531;111801_65_Ветеринария_2013;1;1;80;13
539;110500_САДОВОДСТВО(ПВ_ДС);1;2;82;13
543;110900_ТПИПСХ_(Р_Ж);1;2;82;13
556;110400_62_09_Агрономия(АБ_ЗР);1;1;82;13
557;110500_62_09_САДОВОДСТВО(ДС)_2013;1;1;82;13
558;110800_62_09_АГРОИНЖЕНЕРИЯ(ТСВАБ)_2013;1;1;82;13
562;110800_62_09_АГРОИНЖЕНЕРИЯ(ТСВАБ_ТСВАК);1;1;82;13
565;ЕГ13ДР62ПО;4;2;82;13
571;ЕГ13ДР65ФП1;4;2;80;13
579;НО 2013;14;1;82;13
580;ПО 2013;14;1;82;13
581;СП 2013;14;1;82;13
583;ИГ13ВР62ГМ;5;1;82;13
594;030900_ЮРИСПРУДЕНЦИЯ;16;2;82;12
595;ИГ13ВР62ГМ;5;1;82;13
597;ТК14АР52КC1;10;2;60;14
599;111801_65_Ветеринария_2013;1;1;80;14
601;110500_62_09_САДОВОДСТВО(ДС)_2013;1;1;82;14
602;110500_62_09_САДОВОДСТВО(ДС)_2012;1;1;82;14
603;110900_32_11_ТПИПСХ(ТПИППЖ)_2012;1;1;82;12
604;110900_32_11_ТПИПСХ(ТПИППЖ)_2012;1;1;82;14
606;110900_32_11_ТПИПСХ(ТПИППЖ)_2012;1;1;82;12
607;ТК14ДР52ЭС1;10;2;60;14
613;ТК143АР52АТ1;10;2;60;14
614;ТК14АР52ТЭ1;10;2;60;14
615;ТК14АР52МЭ1;10;2;60;14
616;140400_62_02_ЭЭ(ЭСИС)_2014;6;2;82;14
617;ИТ14ДР68ИВ1;6;2;84;14
618;ТК14ДР52ТМ1;10;2;60;14
620;ИТ14ДР68ТО1;6;2;84;14
621;ИТ14ДР68ЭМ1;6;2;84;14
625;АТ14ДР65ВЕ;1;2;80;14
632;ИТ14ВР62ИС;6;1;82;14
633;270800_62_10_СТР(ПГС)_2014;3;2;82;14
634;270800_62_10_СТР(ТГВ)_2014;3;2;82;14
635;ПРОФИЛЬ_ПРОЕКТИРОВАНИЕ_ГОРОДСКОЙ_СРЕДЫ_2014;3;2;82;14
636;190600_62_09_ЭТТМИК(АИАХ)_2014;3;2;82;14
638;ФК14ДР621;12;2;82;14
639;ФК14ДР62ФС1;12;2;82;14
640;ФК14ДР62ФС2;12;2;82;14
