id;name;short_name
1;Аграрно-технологический факультет;АТ
2;Бендерский политехнический филиал СПО и НПО;БК
3;Бендерский филиал ПГУ;БП
4;Естественно-географический факультет;ЕГ
5;Факультет общественных наук;ИГ
6;Инженерно-технический институт;ИТ
7;Филологический факультет;ИЯ
8;Медицинский факультет;МФ
9;Рыбницкий филиал ПГУ;РФ
10;ФСПО (Технический колледж им. Ю.А. Гагарина) ИТИ;ТК
11;Факультет искусства и архитектуры;ФИ
12;Факультет физической культуры и спорта;ФК
13;Физико-математический факультет;ФМ
14;Факультет педагогики и психологии;ФП
15;Экономический факультет;ЭФ
16;Юридический факультет;24
