id;name;pressmark
10301;Математика;10301
10302;Прикладная математика и информатика;10302
10304;Прикладная математика;10304
10401;Математика;10401
10402;Прикладная математика и информатика;10402
30302;Физика;30302
40501;Фундаментальная и прикладная химия;40501
50302;География;50302
50401;Геология;50401
50402;География;50402
60101;Лечебное дело;60101
60301;Биология;60301
60401;Биология;60401
80106;Мастер сухого строительства;80106
80201;Строительство и эксплуатация зданий и сооружений;80201
80208;Монтаж и эксплуатация оборудования и систем газоснабжения;80208
80301;Строительство;80301
80401;Строительство;80401
90201;Компьютерные системы и комплексы;90201
90301;Информатика и вычислительная техника;90301
90302;Информационные системы и технологии;90302
90303;Прикладная информатика;90303
90304;Программная инженерия;90304
90401;Информатика и вычислительная техника;90401
90403;Прикладная информатика;90403
90404;Программная инженерия;90404
110302;Инфокоммуникационные технологии и системы связи;110302
110304;Электроника и наноэлектроника;110304
110404;Электроника и наноэлектроника;110404
130110;Электромонтер по ремонту и обслуживанию электрооборудования в промышленности;130110
130207;Электроснабжение;130207
130211;Техническая эксплуатация и обслужив. электрич. и электромехан. оборуд.;130211
130302;Электроэнергетика и электротехника;130302
130402;Электроэнергетика и электротехника;130402
140409;Электроснабжение (по отраслям);140409
150201;Монтаж и эксплуатация промышленного оборудования;150201
150207;Автоматизация технологических процессов и производств;150207
150208;Технология машиностроения;150208
150302;Технологические машины и оборудование;150302
150304;Автоматизация технологических процессов и производств;150304
150305;Конструкторско-технологическое обеспечение машиностроительных производств;150305
150402;Технологические машины и оборудование;150402
150501;Проектирование технологических машин и комплексов;150501
190301;Физическая культура;190301
190302;Продукты питания из растительного сырья;190302
190303;Продукты питания животного происхождения;190303
190304;Технология продукции и организация общественного питания;190304
190601;Автомобили и автомобильное хозяйство;190601
200301;Техносферная безопасность;200301
210302;Землеустройство и кадастры;210302
230103;Автомеханик;230103
230205;Техническое обслуживание и ремонт автотранспорта;230205
230303;Эксплуатация транспортно-технологических машин и комплексов;230303
230403;Эксплуатация транспортно-технологических машин и комплексов;230403
230501;Наземные транспортно-технологические средства;230501
270100;Промышленное и гражданское строительство;270100
290100;Архитектура;290100
310502;Педиатрия;310502
310503;Стоматология;310503
330501;Фармация;330501
350304;Агрономия;350304
350305;Садоводство;350305
350306;Агроинженерия;350306
350307;Технология производства и переработки сельскохозяйственной продукции;350307
350404;Агрономия;350404
350405;Садоводство;350405
350406;Агроинженерия;350406
360501;Ветеринария;360501
380301;Экономика;380301
380302;Менеджмент;380302
380304;Государственное и муниципальное управление;380304
380305;Бизнес-информатика;380305
380306;Торговое дело;380306
380401;Экономика;380401
380402;Менеджмент;380402
380404;Государственное и муниципальное управление;380404
380501;Экономическая безопасность;380501
390301;Социология;390301
390302;Социальная работа;390302
390401;Социология;390401
400301;Юриспруденция;400301
400401;Юриспруденция;400401
400501;Правовое обеспечение национальной безопасности;400501
410304;Политология;410304
410404;Политология;410404
420302;Журналистика;420302
420303;Издательское дело;420303
420405;Медиакоммуникации;420405
430302;Туризм;430302
440301;Педагогическое образование;440301
440302;Психолого-педагогическое образование;440302
440305;Педагогичеcкое образование;440305
440401;Педагогическое образование;440401
440402;Психолого-педагогическое образование;440402
450301;Филология;450301
450302;Лингвистика;450302
450401;Филология;450401
450501;Перевод и переводоведение;450501
460301;История;460301
460401;История;460401
490302;Физическая культура для лиц с ОВЗ;490302
510303;Социально-культурная деятельность;510303
540301;Дизайн;540301
540306;Наземные транспортно-технологические средства /сокр.срок обуч./;540306
